index,latitude,longitude
88,40.7652949,-74.9562263
89,40.7656438,-74.9533869
90,40.7664389,-74.9506834
91,40.7675295,-74.9480352
92,40.7686917,-74.9453372
93,40.7698229,-74.9425554
94,40.7709332,-74.9397212
95,40.7720368,-74.9368689
96,40.773148,-74.9340326
97,40.7743122,-74.9312705
98,40.775847,-74.9288511
99,40.7782085,-74.9271498
100,40.7810317,-74.9258248
101,40.7822998,-74.9231085
102,40.7829338,-74.9198912
103,40.7849543,-74.9180452
104,40.7876954,-74.9168247
105,40.7901232,-74.9152177
106,40.7922651,-74.9132905
107,40.7941813,-74.9111311
108,40.7960024,-74.9088708
109,40.7978656,-74.9066432
110,40.7998251,-74.9044981
111,40.8018572,-74.9024061
112,40.8039348,-74.9003346
113,40.8060309,-74.8982513
114,40.8081189,-74.8961241
115,40.8101826,-74.8939365
116,40.8122176,-74.8916895
117,40.81422,-74.8893849
118,40.816186,-74.8870247
119,40.8181117,-74.8846106
120,40.8199935,-74.8821446
121,40.8218273,-74.8796286
122,40.8236095,-74.8770644
123,40.8253362,-74.874454
124,40.8270035,-74.8717991
125,40.8286076,-74.8691017
126,40.8301448,-74.8663636
127,40.8316111,-74.8635867
128,40.8330062,-74.8607757
129,40.8344062,-74.8579998
130,40.8359652,-74.8553933
131,40.8378394,-74.8530921
132,40.8400789,-74.8511333
133,40.8425503,-74.8493814
134,40.8451014,-74.8476837
135,40.8476177,-74.8459256
136,40.8500845,-74.8440944
137,40.8525036,-74.8421941
138,40.8548768,-74.8402284
139,40.8572059,-74.8382015
140,40.8594928,-74.8361172
141,40.8617391,-74.8339795
142,40.8639468,-74.8317923
143,40.8661176,-74.8295597
144,40.8682534,-74.8272855
145,40.8703559,-74.8249736
146,40.8724269,-74.8226281
147,40.8744682,-74.8202529
148,40.8764817,-74.8178519
149,40.8784691,-74.8154291
150,40.8804323,-74.8129884
151,40.882373,-74.8105338
152,40.8842931,-74.8080692
153,40.8861943,-74.8055985
154,40.8880785,-74.8031258
155,40.8899475,-74.8006549
156,40.891803,-74.7981899
157,40.8936468,-74.7957346
158,40.8954809,-74.793293
159,40.8973069,-74.7908691
160,40.8991267,-74.7884667
161,40.9009317,-74.7860874
162,40.9026678,-74.7837215
163,40.9042683,-74.7813563
164,40.9056666,-74.778979
165,40.906812,-74.7765775
166,40.9079035,-74.7741446
167,40.9093342,-74.7716779
168,40.9111822,-74.7691676
169,40.9130086,-74.766593
170,40.9144909,-74.7639409
171,40.9156197,-74.7612145
172,40.9164209,-74.7584189
173,40.9169204,-74.7555591
174,40.917144,-74.7526403
175,40.9171176,-74.7496676
176,40.9168672,-74.7466461
177,40.9164185,-74.7435809
178,40.9157976,-74.740477
179,40.9150301,-74.7373396
180,40.9141421,-74.7341737
181,40.9131594,-74.7309845
182,40.9121079,-74.727777
183,40.9110135,-74.7245564
184,40.909902,-74.7213278
185,40.9087993,-74.7180962
186,40.9077313,-74.7148667
187,40.9067239,-74.7116444
188,40.905803,-74.7084345
189,40.9049945,-74.705242
190,40.9043241,-74.7020721
191,40.9038179,-74.6989297
192,40.9035017,-74.6958201
193,40.9034013,-74.6927483
194,40.9035426,-74.6897194
195,40.9039516,-74.6867385
196,40.9046541,-74.6838107
197,40.905676,-74.6809411
198,40.9070432,-74.6781347
199,40.9087184,-74.6753905
200,40.9099387,-74.6726346
201,40.9097337,-74.6698398
202,40.9082761,-74.6673951
203,40.9060267,-74.6656585
