index,latitude,longitude
262,40.9554837,-74.2768737
263,40.9595077,-74.2776252
264,40.9634091,-74.2791568
265,40.9676729,-74.2794644
266,40.9713836,-74.2783889
267,40.9726823,-74.2776938
268,40.9717241,-74.2774431
269,40.9688697,-74.2775174
270,40.9644799,-74.2777974
271,40.9589155,-74.2781635
272,40.9525371,-74.2784965
273,40.9457055,-74.2786768
274,40.9387816,-74.2785852
275,40.932126,-74.2781022
276,40.9260995,-74.2771085
277,40.9210628,-74.2754846
278,40.9173768,-74.2731111
279,40.9154022,-74.2698686
280,40.9152322,-74.2657226
281,40.9141646,-74.2616459
282,40.9114493,-74.2584533
283,40.9077505,-74.256199
284,40.9043458,-74.2537171
285,40.9019463,-74.2503083
286,40.9001151,-74.2464044
287,40.8982999,-74.2425505
288,40.8959953,-74.2392645
289,40.8931033,-74.236825
290,40.8897559,-74.2352873
291,40.8862666,-74.2338311
292,40.8831186,-74.2312688
293,40.881964,-74.2277657
294,40.8820018,-74.2247615
295,40.8801514,-74.2231573
296,40.8773014,-74.222314
297,40.874831,-74.2214134
298,40.8741197,-74.2196374
299,40.8760937,-74.2164383
300,40.879076,-74.2128284
301,40.8820168,-74.2095447
302,40.8850333,-74.2066986
303,40.8882612,-74.2043797
304,40.8916914,-74.2024889
305,40.8951725,-74.2007415
306,40.8985469,-74.1988451
307,40.9016573,-74.1965084
308,40.9043537,-74.1935733
309,40.9065004,-74.1901467
310,40.9079639,-74.1863671
311,40.9086102,-74.1823729
312,40.9083063,-74.1783037
313,40.9070346,-74.1744883
314,40.9049867,-74.1714815
315,40.9022792,-74.1693181
316,40.8990064,-74.1679115
317,40.8952627,-74.1671751
318,40.8911424,-74.1670223
319,40.8867376,-74.1673679
320,40.8821082,-74.1681458
321,40.8772885,-74.169305
322,40.8723125,-74.1707949
323,40.8672139,-74.1725649
324,40.8620265,-74.1745642
325,40.8567843,-74.1767424
326,40.851521,-74.1790487
327,40.8462704,-74.1814325
328,40.8410664,-74.1838433
329,40.8359429,-74.1862303
330,40.8309336,-74.1885429
331,40.8260723,-74.1907306
332,40.8213929,-74.1927426
333,40.8169293,-74.1945284
334,40.8127152,-74.1960373
335,40.8087845,-74.1972188
336,40.805171,-74.198022
337,40.8019086,-74.1983965
338,40.799031,-74.1982917
339,40.7965721,-74.1976567
340,40.7945658,-74.1964412
341,40.7930458,-74.1945943
342,40.7920459,-74.1920656
343,40.7915954,-74.1888215
344,40.7915675,-74.185398
345,40.7916479,-74.1830175
346,40.791511,-74.1829434
347,40.7909561,-74.1859123
348,40.7908973,-74.1879532
349,40.791811,-74.1855364
350,40.7921592,-74.1808738
351,40.790236,-74.1768105
352,40.7866924,-74.1748542
353,40.7831462,-74.1746089
354,40.7795411,-74.1753817
355,40.7757596,-74.1764735
356,40.7717848,-74.1774167
357,40.7679698,-74.1786056
358,40.7645231,-74.1805129
359,40.7613456,-74.183429
360,40.7576333,-74.1854175
361,40.753435,-74.1845908
362,40.7509471,-74.1841521
363,40.7501459,-74.1842391
364,40.7508478,-74.1847498
365,40.7528691,-74.1855819
366,40.7560261,-74.1866333
367,40.7601352,-74.1878018
368,40.7650128,-74.1889853
369,40.7704752,-74.1900816
370,40.7763388,-74.1909886
371,40.7824199,-74.1916041
372,40.7885349,-74.1918259
373,40.7945001,-74.191552
374,40.8001318,-74.1906801
375,40.8052465,-74.1891081
376,40.8096605,-74.1867338
377,40.813229,-74.183517
378,40.8162566,-74.1801337
379,40.8193367,-74.1777206
380,40.8229636,-74.1771715
381,40.8269943,-74.1778495
382,40.8310452,-74.1785395
383,40.8348012,-74.1782297
384,40.8382871,-74.1769149
385,40.8416323,-74.1749
386,40.8451018,-74.172746
387,40.8492625,-74.1717734
388,40.8531174,-74.1722263
389,40.8556002,-74.1734555
390,40.857336,-74.1745036
391,40.8591389,-74.1743805
392,40.8617351,-74.1726736
393,40.8654673,-74.1709162
394,40.8698866,-74.1697483
395,40.8741083,-74.168989
396,40.8774262,-74.1684802
397,40.8797588,-74.1681801
398,40.8811567,-74.1680713
399,40.8816702,-74.1681366
400,40.8813498,-74.1683585
401,40.8802459,-74.1687198
402,40.878409,-74.169203
403,40.8758895,-74.1697909
404,40.8727378,-74.170466
405,40.8690044,-74.1712112
406,40.8647396,-74.1720089
407,40.8599941,-74.1728419
408,40.8548181,-74.1736928
409,40.8492621,-74.1745443
410,40.8433766,-74.1753791
411,40.837212,-74.1761797
412,40.8308187,-74.1769289
413,40.8242473,-74.1776093
414,40.817548,-74.1782036
415,40.8107713,-74.1786944
416,40.8039678,-74.1790644
417,40.7971878,-74.1792963
418,40.7904817,-74.1793726
419,40.7839001,-74.1792761
420,40.7774932,-74.1789894
421,40.7713117,-74.1784952
422,40.7654059,-74.1777762
423,40.7598262,-74.1768149
424,40.7546231,-74.1755941
425,40.749847,-74.1740963
426,40.7455484,-74.1723044
427,40.7417777,-74.1702008
428,40.7385854,-74.1677684
429,40.7360218,-74.1649896
430,40.7341374,-74.1618473
431,40.7329827,-74.158324
432,40.7326046,-74.1544043
433,40.732907,-74.1501463
434,40.7336051,-74.145706
435,40.7344009,-74.1412461
436,40.7349962,-74.1369292
437,40.7350742,-74.1329002
438,40.7340332,-74.1290315
439,40.731488,-74.1251423
440,40.7276662,-74.1212751
441,40.7228405,-74.1174886
442,40.7172835,-74.1138418
443,40.7112678,-74.1103934
444,40.7050658,-74.1072024
445,40.6989503,-74.1043276
446,40.6931938,-74.101828
447,40.6880689,-74.0997623
448,40.6838481,-74.0981895
449,40.6808042,-74.0971683
450,40.6792095,-74.0967578
451,40.6793368,-74.0970167
452,40.6814586,-74.0980039
453,40.6855892,-74.099669
454,40.6901547,-74.1012898
455,40.6929781,-74.1018888
456,40.6921321,-74.1006182
457,40.688478,-74.0980755
458,40.6846164,-74.0957599
459,40.6831595,-74.0951734
460,40.685327,-74.0967941
461,40.6898256,-74.0992529
462,40.6950981,-74.1009865
463,40.6996657,-74.1005464
464,40.704092,-74.0995704
465,40.7080245,-74.0993705
466,40.7091326,-74.0988599
467,40.7069808,-74.0975807
468,40.7028176,-74.0956572
469,40.6979483,-74.0932331
470,40.6936781,-74.0904523
471,40.6913125,-74.0874587
472,40.6921565,-74.084396
473,40.6967457,-74.081608
474,40.7024585,-74.0801963
475,40.7079298,-74.0803787
476,40.7129575,-74.0817755
477,40.7173501,-74.0840015
